climb_slug,climb_name,country,region,side,category,length_km,elevation_gain_m,avg_grade_pct,max_grade_pct,summit_elevation_m,summit_lat,summit_lon,start_lat,start_lon,wikidata_id,cycletrip_url
col-de-la-croix-des-moinats,Col de la Croix des Moinats,FR,Vosges,from La Bresse,3,5.0,199,4.0,7.1,891,47.98746,6.81698,48.00479,6.87097,Q2982171,https://cycletrip.pro/climbs/col-de-la-croix-des-moinats
col-de-la-croix-des-moinats,Col de la Croix des Moinats,FR,Vosges,from Vagney,2,8.9,483,5.4,9.0,891,47.98746,6.81698,48.00679,6.7172,Q2982171,https://cycletrip.pro/climbs/col-de-la-croix-des-moinats
passo-della-mauria,Passo della Mauria,IT,Dolomites,from Forni di Sotto / For Disot,3,14.6,535,3.7,10.6,,46.45442,12.51334,46.39634,12.63257,Q1416769,https://cycletrip.pro/climbs/passo-della-mauria
passo-della-mauria,Passo della Mauria,IT,Dolomites,from Pelos di Cadore,2,12.6,581,4.6,10.8,,46.45442,12.51334,46.49874,12.45471,Q1416769,https://cycletrip.pro/climbs/passo-della-mauria
cote-de-saint-apollinaire,Côte de Saint-Apollinaire,FR,French Alps,from Savines-le-Lac,2,6.7,421,6.3,8.8,1208,44.56963,6.38031,44.53729,6.39227,,https://cycletrip.pro/climbs/cote-de-saint-apollinaire
col-de-cou,Col de Cou,FR,French Alps,from Allinges,2,13.1,589,4.5,10.1,1116,46.26241,6.454,46.34241,6.47694,Q2982041,https://cycletrip.pro/climbs/col-de-cou
col-de-cou,Col de Cou,FR,French Alps,from Villard,3,8.2,322,3.9,7.1,1116,46.26241,6.454,46.21917,6.44139,Q2982041,https://cycletrip.pro/climbs/col-de-cou
collado-de-xarquera,Collado de Xarquera,ES,Costa Blanca,from Alcoleja,2,4.9,359,7.3,11.6,1026,38.67885,-0.29715,38.6824,-0.33321,,https://cycletrip.pro/climbs/collado-de-xarquera
collado-de-xarquera,Collado de Xarquera,ES,Costa Blanca,from Confrides,3,2.6,204,7.9,11.8,1026,38.67885,-0.29715,38.68735,-0.28411,,https://cycletrip.pro/climbs/collado-de-xarquera
passo-zovo,Passo Zovo,IT,Veneto,from Schio,2,7.0,424,6.1,10.4,631,45.68397,11.30976,45.70803,11.35266,Q3897420,https://cycletrip.pro/climbs/passo-zovo
passo-zovo,Passo Zovo,IT,Veneto,from Valdagno,2,6.0,369,6.2,12.9,631,45.68397,11.30976,45.65506,11.29984,Q3897420,https://cycletrip.pro/climbs/passo-zovo
przelecz-okraj,Przełęcz Okraj,PL,Sudety,from Kostrzyca,2,16.2,641,4.0,10.3,1046,50.74688,15.82367,50.81785,15.80854,,https://cycletrip.pro/climbs/przelecz-okraj
przelecz-okraj,Przełęcz Okraj,PL,Sudety,from Svoboda nad Úpou,3,19.4,538,2.8,8.8,1046,50.74688,15.82367,50.62099,15.81861,,https://cycletrip.pro/climbs/przelecz-okraj
przelecz-pod-czolem,Przełęcz pod Czołem,PL,Sudety,from Karpacz,3,5.1,217,4.3,9.8,819,50.7867,15.72143,50.77582,15.75948,,https://cycletrip.pro/climbs/przelecz-pod-czolem
przelecz-pod-czolem,Przełęcz pod Czołem,PL,Sudety,from Sosnówka,2,7.7,447,5.8,10.1,819,50.7867,15.72143,50.8255,15.72338,,https://cycletrip.pro/climbs/przelecz-pod-czolem
col-du-bonhomme,Col du Bonhomme,FR,Vosges,from Fraize,3,10.2,452,4.4,9.0,949,48.16462,7.08,48.18392,7.00255,Q1107476,https://cycletrip.pro/climbs/col-du-bonhomme
col-du-bonhomme,Col du Bonhomme,FR,Vosges,from Kaysersberg-Vignoble,2,15.4,631,4.1,9.6,949,48.16462,7.08,48.15615,7.21785,Q1107476,https://cycletrip.pro/climbs/col-du-bonhomme
